FLEET,UNIT,LOG NO,CAP COST,BOOK VALUE,RENTAL,TERM,LPIS,SCONTR,INS PREMIUM,FEE,DESC,MM/YY,START,STOP,AMT,METHOD,RATE,BL,AC,Interest
1761,33,9038003,110142.24,53090.84,2491.07,38,28,,0,2868,Interest,20160401,28,28,347.51,51,28.00,Y,Y,
1761,33,9038003,110142.24,51053.29,2491.07,38,29,,0,2868,Interest,20160501,29,29,334.46,51,29.00,Y,Y,
1761,33,9038003,110142.24,49015.74,2491.07,38,30,,0,2868,Interest,20160601,30,30,321.32,51,30.00,Y,Y,
1761,33,9038003,110142.24,46978.19,2491.07,38,31,,0,2868,Interest,20160701,31,31,308.11,51,31.00,Y,Y,
1761,33,9038003,110142.24,44940.64,2491.07,38,32,,0,2868,Interest,20160801,32,32,294.81,51,32.00,Y,Y,
1761,33,9038003,110142.24,42903.09,2491.07,38,33,,0,2868,Interest,20160901,33,33,281.44,51,33.00,Y,Y,
1761,33,9038003,110142.24,40865.54,2491.07,38,34,,0,2868,Interest,20161001,34,34,267.98,51,34.00,Y,Y,
1761,33,9038003,110142.24,38827.99,2491.07,38,35,,0,2868,Interest,20161101,35,35,254.44,51,35.00,Y,Y,
1761,33,9038003,110142.24,36790.44,2491.07,38,36,,0,2868,Interest,20161201,36,36,240.81,51,36.00,Y,Y,
1761,33,9038003,110142.24,34752.89,2491.07,38,37,,0,2868,Interest,20170101,37,37,227.10,51,37.00,Y,Y,
1761,33,9038003,110142.24,32715.34,2491.07,38,38,,0,2868,Interest,20170201,38,38,213.31,51,38.00,Y,Y,
1761,33,9038003,110142.24,30677.79,2491.07,38,39,,0,2868,Interest,20170301,39,999,0.00,51,999.00,Y,Y,
1761,34,9038008,110142.24,108104.69,2491.07,38,1,,0,2862,Amort,20140101,1,1,2475.89,51,1.00,N,Y,
1761,34,9038008,110142.24,106067.14,2491.07,38,2,,0,2862,Amort,20140201,2,2,1815.53,51,2.00,N,Y,
1761,34,9038008,110142.24,104029.59,2491.07,38,3,,0,2862,Amort,20140301,3,3,1826.67,51,3.00,N,Y,
1761,34,9038008,110142.24,101992.04,2491.07,38,4,,0,2862,Amort,20140401,4,4,1837.87,51,4.00,N,Y,
1761,34,9038008,110142.24,99954.49,2491.07,38,5,,0,2862,Amort,20140501,5,5,1849.14,51,5.00,N,Y,
1761,34,9038008,110142.24,97916.94,2491.07,38,6,,0,2862,Amort,20140601,6,6,1860.48,51,6.00,N,Y,
1761,34,9038008,110142.24,95879.39,2491.07,38,7,,0,2862,Amort,20140701,7,7,1871.90,51,7.00,N,Y,
1761,34,9038008,110142.24,93841.84,2491.07,38,8,,0,2862,Amort,20140801,8,8,1883.38,51,8.00,N,Y,
1761,34,9038008,110142.24,91804.29,2491.07,38,9,,0,2862,Amort,20140901,9,9,1894.93,51,9.00,N,Y,
1761,34,9038008,110142.24,89766.74,2491.07,38,10,,0,2862,Amort,20141001,10,10,1906.55,51,10.00,N,Y,
1761,34,9038008,110142.24,87729.19,2491.07,38,11,,0,2862,Amort,20141101,11,11,1918.24,51,11.00,N,Y,
1761,34,9038008,110142.24,85691.64,2491.07,38,12,,0,2862,Amort,20141201,12,12,1930.01,51,12.00,N,Y,
1761,34,9038008,110142.24,83654.09,2491.07,38,13,,0,2862,Amort,20150101,13,13,1941.85,51,13.00,N,Y,
1761,34,9038008,110142.24,81616.54,2491.07,38,14,,0,2862,Amort,20150201,14,14,1953.76,51,14.00,N,Y,
1761,34,9038008,110142.24,79578.99,2491.07,38,15,,0,2862,Amort,20150301,15,15,1965.74,51,15.00,N,Y,
1761,34,9038008,110142.24,77541.44,2491.07,38,16,,0,2862,Amort,20150401,16,16,1977.80,51,16.00,N,Y,
1761,34,9038008,110142.24,75503.89,2491.07,38,17,,0,2862,Amort,20150501,17,17,1989.93,51,17.00,N,Y,
1761,34,9038008,110142.24,73466.34,2491.07,38,18,,0,2862,Amort,20150601,18,18,2002.13,51,18.00,N,Y,
1761,34,9038008,110142.24,71428.79,2491.07,38,19,,0,2862,Amort,20150701,19,19,2014.41,51,19.00,N,Y,
1761,34,9038008,110142.24,69391.24,2491.07,38,20,,0,2862,Amort,20150801,20,20,2026.77,51,20.00,N,Y,
1761,34,9038008,110142.24,67353.69,2491.07,38,21,,0,2862,Amort,20150901,21,21,2039.20,51,21.00,N,Y,
1761,34,9038008,110142.24,65316.14,2491.07,38,22,,0,2862,Amort,20151001,22,22,2051.70,51,22.00,N,Y,
1761,34,9038008,110142.24,63278.59,2491.07,38,23,,0,2862,Amort,20151101,23,23,2064.29,51,23.00,N,Y,
1761,34,9038008,110142.24,61241.04,2491.07,38,24,,0,2862,Amort,20151201,24,24,2076.95,51,24.00,N,Y,
1761,34,9038008,110142.24,59203.49,2491.07,38,25,,0,2862,Amort,20160101,25,25,2089.69,51,25.00,N,Y,
1761,34,9038008,110142.24,57165.94,2491.07,38,26,,0,2862,Amort,20160201,26,26,2102.50,51,26.00,N,Y,
1761,34,9038008,110142.24,55128.39,2491.07,38,27,,0,2862,Amort,20160301,27,27,2115.40,51,27.00,N,Y,
1761,34,9038008,110142.24,53090.84,2491.07,38,28,,0,2862,Amort,20160401,28,28,2128.37,51,28.00,N,Y,
1761,34,9038008,110142.24,51053.29,2491.07,38,29,,0,2862,Amort,20160501,29,29,2141.43,51,29.00,N,Y,
1761,34,9038008,110142.24,49015.74,2491.07,38,30,,0,2862,Amort,20160601,30,30,2154.56,51,30.00,N,Y,
1761,34,9038008,110142.24,46978.19,2491.07,38,31,,0,2862,Amort,20160701,31,31,2167.78,51,31.00,N,Y,
1761,34,9038008,110142.24,44940.64,2491.07,38,32,,0,2862,Amort,20160801,32,32,2181.07,51,32.00,N,Y,
1761,34,9038008,110142.24,42903.09,2491.07,38,33,,0,2862,Amort,20160901,33,33,2194.45,51,33.00,N,Y,
1761,34,9038008,110142.24,40865.54,2491.07,38,34,,0,2862,Amort,20161001,34,34,2207.91,51,34.00,N,Y,
1761,34,9038008,110142.24,38827.99,2491.07,38,35,,0,2862,Amort,20161101,35,35,2221.45,51,35.00,N,Y,
1761,34,9038008,110142.24,36790.44,2491.07,38,36,,0,2862,Amort,20161201,36,36,2235.08,51,36.00,N,Y,
1761,34,9038008,110142.24,34752.89,2491.07,38,37,,0,2862,Amort,20170101,37,37,2248.78,51,37.00,N,Y,
1761,34,9038008,110142.24,32715.34,2491.07,38,38,,0,2862,Amort,20170201,38,38,2262.58,51,38.00,N,Y,
1761,34,9038008,110142.24,30677.79,2491.07,38,39,,0,2862,Amort,20170301,39,999,0.00,51,999.00,N,Y,
1761,34,9038008,110142.24,108104.69,2491.07,38,1,,0,2868,Interest,20140101,1,1,0.00,51,1.00,Y,Y,
1761,34,9038008,110142.24,106067.14,2491.07,38,2,,0,2868,Interest,20140201,2,2,660.35,51,2.00,Y,Y,
1761,34,9038008,110142.24,104029.59,2491.07,38,3,,0,2868,Interest,20140301,3,3,649.22,51,3.00,Y,Y,
1761,34,9038008,110142.24,101992.04,2491.07,38,4,,0,2868,Interest,20140401,4,4,638.01,51,4.00,Y,Y,
1761,34,9038008,110142.24,99954.49,2491.07,38,5,,0,2868,Interest,20140501,5,5,626.74,51,5.00,Y,Y,
1761,34,9038008,110142.24,97916.94,2491.07,38,6,,0,2868,Interest,20140601,6,6,615.40,51,6.00,Y,Y,
1761,34,9038008,110142.24,95879.39,2491.07,38,7,,0,2868,Interest,20140701,7,7,603.99,51,7.00,Y,Y,
1761,34,9038008,110142.24,93841.84,2491.07,38,8,,0,2868,Interest,20140801,8,8,592.51,51,8.00,Y,Y,
1761,34,9038008,110142.24,91804.29,2491.07,38,9,,0,2868,Interest,20140901,9,9,580.96,51,9.00,Y,Y,
1761,34,9038008,110142.24,89766.74,2491.07,38,10,,0,2868,Interest,20141001,10,10,569.34,51,10.00,Y,Y,
1761,34,9038008,110142.24,87729.19,2491.07,38,11,,0,2868,Interest,20141101,11,11,557.64,51,11.00,Y,Y,
1761,34,9038008,110142.24,85691.64,2491.07,38,12,,0,2868,Interest,20141201,12,12,545.88,51,12.00,Y,Y,
1761,34,9038008,110142.24,83654.09,2491.07,38,13,,0,2868,Interest,20150101,13,13,534.04,51,13.00,Y,Y,
1761,34,9038008,110142.24,81616.54,2491.07,38,14,,0,2868,Interest,20150201,14,14,522.13,51,14.00,Y,Y,
1761,34,9038008,110142.24,79578.99,2491.07,38,15,,0,2868,Interest,20150301,15,15,510.15,51,15.00,Y,Y,
1761,34,9038008,110142.24,77541.44,2491.07,38,16,,0,2868,Interest,20150401,16,16,498.09,51,16.00,Y,Y,
1761,34,9038008,110142.24,75503.89,2491.07,38,17,,0,2868,Interest,20150501,17,17,485.96,51,17.00,Y,Y,
1761,34,9038008,110142.24,73466.34,2491.07,38,18,,0,2868,Interest,20150601,18,18,473.75,51,18.00,Y,Y,
1761,34,9038008,110142.24,71428.79,2491.07,38,19,,0,2868,Interest,20150701,19,19,461.47,51,19.00,Y,Y,
1761,34,9038008,110142.24,69391.24,2491.07,38,20,,0,2868,Interest,20150801,20,20,449.12,51,20.00,Y,Y,
1761,34,9038008,110142.24,67353.69,2491.07,38,21,,0,2868,Interest,20150901,21,21,436.69,51,21.00,Y,Y,
1761,34,9038008,110142.24,65316.14,2491.07,38,22,,0,2868,Interest,20151001,22,22,424.18,51,22.00,Y,Y,
1761,34,9038008,110142.24,63278.59,2491.07,38,23,,0,2868,Interest,20151101,23,23,411.60,51,23.00,Y,Y,
1761,34,9038008,110142.24,61241.04,2491.07,38,24,,0,2868,Interest,20151201,24,24,398.94,51,24.00,Y,Y,
1761,34,9038008,110142.24,59203.49,2491.07,38,25,,0,2868,Interest,20160101,25,25,386.20,51,25.00,Y,Y,
1761,34,9038008,110142.24,57165.94,2491.07,38,26,,0,2868,Interest,20160201,26,26,373.38,51,26.00,Y,Y,
1761,34,9038008,110142.24,55128.39,2491.07,38,27,,0,2868,Interest,20160301,27,27,360.49,51,27.00,Y,Y,
1761,34,9038008,110142.24,53090.84,2491.07,38,28,,0,2868,Interest,20160401,28,28,347.51,51,28.00,Y,Y,
1761,34,9038008,110142.24,51053.29,2491.07,38,29,,0,2868,Interest,20160501,29,29,334.46,51,29.00,Y,Y,
1761,34,9038008,110142.24,49015.74,2491.07,38,30,,0,2868,Interest,20160601,30,30,321.32,51,30.00,Y,Y,
1761,34,9038008,110142.24,46978.19,2491.07,38,31,,0,2868,Interest,20160701,31,31,308.11,51,31.00,Y,Y,
1761,34,9038008,110142.24,44940.64,2491.07,38,32,,0,2868,Interest,20160801,32,32,294.81,51,32.00,Y,Y,
1761,34,9038008,110142.24,42903.09,2491.07,38,33,,0,2868,Interest,20160901,33,33,281.44,51,33.00,Y,Y,
1761,34,9038008,110142.24,40865.54,2491.07,38,34,,0,2868,Interest,20161001,34,34,267.98,51,34.00,Y,Y,
1761,34,9038008,110142.24,38827.99,2491.07,38,35,,0,2868,Interest,20161101,35,35,254.44,51,35.00,Y,Y,
1761,34,9038008,110142.24,36790.44,2491.07,38,36,,0,2868,Interest,20161201,36,36,240.81,51,36.00,Y,Y,
1761,34,9038008,110142.24,34752.89,2491.07,38,37,,0,2868,Interest,20170101,37,37,227.10,51,37.00,Y,Y,
1761,34,9038008,110142.24,32715.34,2491.07,38,38,,0,2868,Interest,20170201,38,38,213.31,51,38.00,Y,Y,
1761,34,9038008,110142.24,30677.79,2491.07,38,39,,0,2868,Interest,20170301,39,999,0.00,51,999.00,Y,Y,
1761,35,9038010,110142.24,108104.69,2491.07,38,1,,0,2862,Amort,20140101,1,1,2475.89,51,1.00,N,Y,
1761,35,9038010,110142.24,106067.14,2491.07,38,2,,0,2862,Amort,20140201,2,2,1815.53,51,2.00,N,Y,
1761,35,9038010,110142.24,104029.59,2491.07,38,3,,0,2862,Amort,20140301,3,3,1826.67,51,3.00,N,Y,
1761,35,9038010,110142.24,101992.04,2491.07,38,4,,0,2862,Amort,20140401,4,4,1837.87,51,4.00,N,Y,
1761,35,9038010,110142.24,99954.49,2491.07,38,5,,0,2862,Amort,20140501,5,5,1849.14,51,5.00,N,Y,
1761,35,9038010,110142.24,97916.94,2491.07,38,6,,0,2862,Amort,20140601,6,6,1860.48,51,6.00,N,Y,
1761,35,9038010,110142.24,95879.39,2491.07,38,7,,0,2862,Amort,20140701,7,7,1871.90,51,7.00,N,Y,
1761,35,9038010,110142.24,93841.84,2491.07,38,8,,0,2862,Amort,20140801,8,8,1883.38,51,8.00,N,Y,
1761,35,9038010,110142.24,91804.29,2491.07,38,9,,0,2862,Amort,20140901,9,9,1894.93,51,9.00,N,Y,
1761,35,9038010,110142.24,89766.74,2491.07,38,10,,0,2862,Amort,20141001,10,10,1906.55,51,10.00,N,Y,
1761,35,9038010,110142.24,87729.19,2491.07,38,11,,0,2862,Amort,20141101,11,11,1918.24,51,11.00,N,Y,
1761,35,9038010,110142.24,85691.64,2491.07,38,12,,0,2862,Amort,20141201,12,12,1930.01,51,12.00,N,Y,
1761,35,9038010,110142.24,83654.09,2491.07,38,13,,0,2862,Amort,20150101,13,13,1941.85,51,13.00,N,Y,
1761,35,9038010,110142.24,81616.54,2491.07,38,14,,0,2862,Amort,20150201,14,14,1953.76,51,14.00,N,Y,
1761,35,9038010,110142.24,79578.99,2491.07,38,15,,0,2862,Amort,20150301,15,15,1965.74,51,15.00,N,Y,
1761,35,9038010,110142.24,77541.44,2491.07,38,16,,0,2862,Amort,20150401,16,16,1977.80,51,16.00,N,Y,
1761,35,9038010,110142.24,75503.89,2491.07,38,17,,0,2862,Amort,20150501,17,17,1989.93,51,17.00,N,Y,
1761,35,9038010,110142.24,73466.34,2491.07,38,18,,0,2862,Amort,20150601,18,18,2002.13,51,18.00,N,Y,
1761,35,9038010,110142.24,71428.79,2491.07,38,19,,0,2862,Amort,20150701,19,19,2014.41,51,19.00,N,Y,
1761,35,9038010,110142.24,69391.24,2491.07,38,20,,0,2862,Amort,20150801,20,20,2026.77,51,20.00,N,Y,
1761,35,9038010,110142.24,67353.69,2491.07,38,21,,0,2862,Amort,20150901,21,21,2039.20,51,21.00,N,Y,
1761,35,9038010,110142.24,65316.14,2491.07,38,22,,0,2862,Amort,20151001,22,22,2051.70,51,22.00,N,Y,
1761,35,9038010,110142.24,63278.59,2491.07,38,23,,0,2862,Amort,20151101,23,23,2064.29,51,23.00,N,Y,
1761,35,9038010,110142.24,61241.04,2491.07,38,24,,0,2862,Amort,20151201,24,24,2076.95,51,24.00,N,Y,
1761,35,9038010,110142.24,59203.49,2491.07,38,25,,0,2862,Amort,20160101,25,25,2089.69,51,25.00,N,Y,
1761,35,9038010,110142.24,57165.94,2491.07,38,26,,0,2862,Amort,20160201,26,26,2102.50,51,26.00,N,Y,
1761,35,9038010,110142.24,55128.39,2491.07,38,27,,0,2862,Amort,20160301,27,27,2115.40,51,27.00,N,Y,
1761,35,9038010,110142.24,53090.84,2491.07,38,28,,0,2862,Amort,20160401,28,28,2128.37,51,28.00,N,Y,
1761,35,9038010,110142.24,51053.29,2491.07,38,29,,0,2862,Amort,20160501,29,29,2141.43,51,29.00,N,Y,
1761,35,9038010,110142.24,49015.74,2491.07,38,30,,0,2862,Amort,20160601,30,30,2154.56,51,30.00,N,Y,
1761,35,9038010,110142.24,46978.19,2491.07,38,31,,0,2862,Amort,20160701,31,31,2167.78,51,31.00,N,Y,
1761,35,9038010,110142.24,44940.64,2491.07,38,32,,0,2862,Amort,20160801,32,32,2181.07,51,32.00,N,Y,
1761,35,9038010,110142.24,42903.09,2491.07,38,33,,0,2862,Amort,20160901,33,33,2194.45,51,33.00,N,Y,
1761,35,9038010,110142.24,40865.54,2491.07,38,34,,0,2862,Amort,20161001,34,34,2207.91,51,34.00,N,Y,
1761,35,9038010,110142.24,38827.99,2491.07,38,35,,0,2862,Amort,20161101,35,35,2221.45,51,35.00,N,Y,
1761,35,9038010,110142.24,36790.44,2491.07,38,36,,0,2862,Amort,20161201,36,36,2235.08,51,36.00,N,Y,
1761,35,9038010,110142.24,34752.89,2491.07,38,37,,0,2862,Amort,20170101,37,37,2248.78,51,37.00,N,Y,
1761,35,9038010,110142.24,32715.34,2491.07,38,38,,0,2862,Amort,20170201,38,38,2262.58,51,38.00,N,Y,
1761,35,9038010,110142.24,30677.79,2491.07,38,39,,0,2862,Amort,20170301,39,999,0.00,51,999.00,N,Y,
1761,35,9038010,110142.24,108104.69,2491.07,38,1,,0,2868,Interest,20140101,1,1,0.00,51,1.00,Y,Y,
1761,35,9038010,110142.24,106067.14,2491.07,38,2,,0,2868,Interest,20140201,2,2,660.35,51,2.00,Y,Y,
1761,35,9038010,110142.24,104029.59,2491.07,38,3,,0,2868,Interest,20140301,3,3,649.22,51,3.00,Y,Y,
1761,35,9038010,110142.24,101992.04,2491.07,38,4,,0,2868,Interest,20140401,4,4,638.01,51,4.00,Y,Y,
1761,35,9038010,110142.24,99954.49,2491.07,38,5,,0,2868,Interest,20140501,5,5,626.74,51,5.00,Y,Y,
1761,35,9038010,110142.24,97916.94,2491.07,38,6,,0,2868,Interest,20140601,6,6,615.40,51,6.00,Y,Y,
1761,35,9038010,110142.24,95879.39,2491.07,38,7,,0,2868,Interest,20140701,7,7,603.99,51,7.00,Y,Y,
1761,35,9038010,110142.24,93841.84,2491.07,38,8,,0,2868,Interest,20140801,8,8,592.51,51,8.00,Y,Y,
1761,35,9038010,110142.24,91804.29,2491.07,38,9,,0,2868,Interest,20140901,9,9,580.96,51,9.00,Y,Y,
1761,35,9038010,110142.24,89766.74,2491.07,38,10,,0,2868,Interest,20141001,10,10,569.34,51,10.00,Y,Y,
1761,35,9038010,110142.24,87729.19,2491.07,38,11,,0,2868,Interest,20141101,11,11,557.64,51,11.00,Y,Y,
1761,35,9038010,110142.24,85691.64,2491.07,38,12,,0,2868,Interest,20141201,12,12,545.88,51,12.00,Y,Y,
1761,35,9038010,110142.24,83654.09,2491.07,38,13,,0,2868,Interest,20150101,13,13,534.04,51,13.00,Y,Y,
1761,35,9038010,110142.24,81616.54,2491.07,38,14,,0,2868,Interest,20150201,14,14,522.13,51,14.00,Y,Y,
1761,35,9038010,110142.24,79578.99,2491.07,38,15,,0,2868,Interest,20150301,15,15,510.15,51,15.00,Y,Y,
1761,35,9038010,110142.24,77541.44,2491.07,38,16,,0,2868,Interest,20150401,16,16,498.09,51,16.00,Y,Y,
1761,35,9038010,110142.24,75503.89,2491.07,38,17,,0,2868,Interest,20150501,17,17,485.96,51,17.00,Y,Y,
1761,35,9038010,110142.24,73466.34,2491.07,38,18,,0,2868,Interest,20150601,18,18,473.75,51,18.00,Y,Y,
1761,35,9038010,110142.24,71428.79,2491.07,38,19,,0,2868,Interest,20150701,19,19,461.47,51,19.00,Y,Y,
1761,35,9038010,110142.24,69391.24,2491.07,38,20,,0,2868,Interest,20150801,20,20,449.12,51,20.00,Y,Y,
1761,35,9038010,110142.24,67353.69,2491.07,38,21,,0,2868,Interest,20150901,21,21,436.69,51,21.00,Y,Y,
1761,35,9038010,110142.24,65316.14,2491.07,38,22,,0,2868,Interest,20151001,22,22,424.18,51,22.00,Y,Y,
1761,35,9038010,110142.24,63278.59,2491.07,38,23,,0,2868,Interest,20151101,23,23,411.60,51,23.00,Y,Y,
